schema_version,event_type,trial_id,task_name,planner,planner_label,condition_label,success,failure_stage,failure_reason,timestamp_unix_s,duration_s,output_dir,linear_ir_path,raw_response_path,tree_xml_path,bt_yaml_path,manifest_path,runner_started,runner_return_code,task_success,outcome_label,failure_category,operator_notes,git_commit,git_branch,hostname,ros_distro,command
1,annotation,make_sandwich__ros-service__20260601T155336__0c77a9df,make_sandwich,ros-service,constrained_linear_ir,robot_live,False,,,1780329717.7774363,,,,,,,,,,failure,aborted,service_unavailable,correction: panda /lerobot_bt/generate_plan was not running; previous success annotation was wrong,,,,,
1,generation,make_sandwich__ros-service__20260601T160226__d0249ae8,make_sandwich,ros-service,constrained_linear_ir,robot_live,True,,,1780329747.403951,0.4497244358062744,generated_bt,generated_bt/plans/make_sandwich_linear_ir.json,generated_bt/raw_model_responses/make_sandwich_raw_response.json,generated_bt/trees/make_sandwich.xml,generated_bt/config/make_sandwich_bt.yaml,generated_bt/manifests/make_sandwich_manifest.json,,,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_sandwich --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_sandwich__ros-service__20260601T160226__d0249ae8 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml
1,runner,make_sandwich__ros-service__20260601T160226__d0249ae8,make_sandwich,ros-service,constrained_linear_ir,robot_live,True,,,1780329750.7753122,3.3708932399749756,generated_bt,generated_bt/plans/make_sandwich_linear_ir.json,,generated_bt/trees/make_sandwich.xml,generated_bt/config/make_sandwich_bt.yaml,generated_bt/manifests/make_sandwich_manifest.json,True,0,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,/home/bsquitieri/lerobot/src/lerobot_bt_python/bt_generation/generate_and_run.py --task make_sandwich --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --executor-yaml src/lerobot_bt_python/make_sandwich_executor.yaml --output-dir generated_bt --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live
1,generation,make_coffee__ros-service__20260601T160230__7eb0c492,make_coffee,ros-service,constrained_linear_ir,robot_live,True,,,1780329751.457173,0.4667811393737793,generated_bt,generated_bt/plans/make_coffee_linear_ir.json,generated_bt/raw_model_responses/make_coffee_raw_response.json,generated_bt/trees/make_coffee.xml,generated_bt/config/make_coffee_bt.yaml,generated_bt/manifests/make_coffee_manifest.json,,,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task make_coffee --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id make_coffee__ros-service__20260601T160230__7eb0c492 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/make_coffee_executor.yaml
1,runner,make_coffee__ros-service__20260601T160230__7eb0c492,make_coffee,ros-service,constrained_linear_ir,robot_live,True,,,1780329753.9378133,2.480416774749756,generated_bt,generated_bt/plans/make_coffee_linear_ir.json,,generated_bt/trees/make_coffee.xml,generated_bt/config/make_coffee_bt.yaml,generated_bt/manifests/make_coffee_manifest.json,True,0,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,/home/bsquitieri/lerobot/src/lerobot_bt_python/bt_generation/generate_and_run.py --task make_coffee --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --executor-yaml src/lerobot_bt_python/make_coffee_executor.yaml --output-dir generated_bt --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live
1,generation,set_breakfast_table__ros-service__20260601T160234__e5e308f0,set_breakfast_table,ros-service,constrained_linear_ir,robot_live,True,,,1780329756.6587846,2.5083179473876953,generated_bt,generated_bt/plans/set_breakfast_table_linear_ir.json,generated_bt/raw_model_responses/set_breakfast_table_raw_response.json,generated_bt/trees/set_breakfast_table.xml,generated_bt/config/set_breakfast_table_bt.yaml,generated_bt/manifests/set_breakfast_table_manifest.json,,,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task set_breakfast_table --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id set_breakfast_table__ros-service__20260601T160234__e5e308f0 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/set_breakfast_table_executor.yaml
1,runner,set_breakfast_table__ros-service__20260601T160234__e5e308f0,set_breakfast_table,ros-service,constrained_linear_ir,robot_live,True,,,1780329760.6918056,4.032811880111694,generated_bt,generated_bt/plans/set_breakfast_table_linear_ir.json,,generated_bt/trees/set_breakfast_table.xml,generated_bt/config/set_breakfast_table_bt.yaml,generated_bt/manifests/set_breakfast_table_manifest.json,True,0,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,/home/bsquitieri/lerobot/src/lerobot_bt_python/bt_generation/generate_and_run.py --task set_breakfast_table --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --executor-yaml src/lerobot_bt_python/set_breakfast_table_executor.yaml --output-dir generated_bt --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live
1,generation,prepare_picnic_bag__ros-service__20260601T160240__e65f6d73,prepare_picnic_bag,ros-service,constrained_linear_ir,robot_live,True,,,1780329761.3610532,0.44451308250427246,generated_bt,generated_bt/plans/prepare_picnic_bag_linear_ir.json,generated_bt/raw_model_responses/prepare_picnic_bag_raw_response.json,generated_bt/trees/prepare_picnic_bag.xml,generated_bt/config/prepare_picnic_bag_bt.yaml,generated_bt/manifests/prepare_picnic_bag_manifest.json,,,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task prepare_picnic_bag --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id prepare_picnic_bag__ros-service__20260601T160240__e65f6d73 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/prepare_picnic_bag_executor.yaml
1,runner,prepare_picnic_bag__ros-service__20260601T160240__e65f6d73,prepare_picnic_bag,ros-service,constrained_linear_ir,robot_live,True,,,1780329765.115314,3.7540442943573,generated_bt,generated_bt/plans/prepare_picnic_bag_linear_ir.json,,generated_bt/trees/prepare_picnic_bag.xml,generated_bt/config/prepare_picnic_bag_bt.yaml,generated_bt/manifests/prepare_picnic_bag_manifest.json,True,0,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,/home/bsquitieri/lerobot/src/lerobot_bt_python/bt_generation/generate_and_run.py --task prepare_picnic_bag --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --executor-yaml src/lerobot_bt_python/prepare_picnic_bag_executor.yaml --output-dir generated_bt --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live
1,generation,items_in_drawer__ros-service__20260601T160245__f3c44304,items_in_drawer,ros-service,constrained_linear_ir,robot_live,True,,,1780329766.0440443,0.7157120704650879,generated_bt,generated_bt/plans/items_in_drawer_linear_ir.json,generated_bt/raw_model_responses/items_in_drawer_raw_response.json,generated_bt/trees/items_in_drawer.xml,generated_bt/config/items_in_drawer_bt.yaml,generated_bt/manifests/items_in_drawer_manifest.json,,,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,'python -m lerobot_bt_python.bt_generation.generate' --task items_in_drawer --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --output-dir generated_bt --plan-service-name /lerobot_bt/generate_plan --plan-service-timeout-s 30.0 --trial-id items_in_drawer__ros-service__20260601T160245__f3c44304 --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live --executor-yaml src/lerobot_bt_python/items_in_drawer_executor.yaml
1,runner,items_in_drawer__ros-service__20260601T160245__f3c44304,items_in_drawer,ros-service,constrained_linear_ir,robot_live,True,,,1780329768.5252857,2.480966091156006,generated_bt,generated_bt/plans/items_in_drawer_linear_ir.json,,generated_bt/trees/items_in_drawer.xml,generated_bt/config/items_in_drawer_bt.yaml,generated_bt/manifests/items_in_drawer_manifest.json,True,0,,,,,572a9934b0102f4c94627665c3b2c09f01f8e0f3,runtime-bt-generation-mvp-c,IITICB001LW020,jazzy,/home/bsquitieri/lerobot/src/lerobot_bt_python/bt_generation/generate_and_run.py --task items_in_drawer --planner ros-service --registry src/lerobot_bt_python/bt_generation/skills_registry.yaml --executor-yaml src/lerobot_bt_python/items_in_drawer_executor.yaml --output-dir generated_bt --experiment-log generated_bt/experiments/trials.jsonl --planner-label constrained_linear_ir --condition-label robot_live
